Date,PM_adj_close,PM_volume,SP500_adj_close,PM_return,SP500_return
2008-05-01,22.7341365814209,148768600,1400.3800048828125,0.0319416839338964,0.01067418170406853
2008-06-01,21.322418212890625,196787300,1280.0,-0.06209685437026791,-0.08596238482631446
2008-07-01,22.49801254272461,186814100,1267.3800048828125,0.05513419341541992,-0.009859371185302779
2008-08-01,23.39095115661621,149527200,1282.8299560546875,0.039689666462576545,0.012190464669121548
2008-09-01,20.951679229736328,252888100,1166.3599853515625,-0.1042827164465232,-0.09079143354379215
2008-10-01,19.123981475830078,346357500,968.75,-0.08723395074282314,-0.16942452401777075
2008-11-01,18.547677993774414,232665000,896.239990234375,-0.030135120282563932,-0.0748490423387097
2008-12-01,19.141584396362305,234520600,903.25,0.03202052584626691,0.007821576633499472
2009-01-01,16.555599212646484,202378900,825.8800048828125,-0.1350977604658089,-0.08565734305805428
2009-02-01,14.915634155273438,250174200,735.0900268554688,-0.0990580308395187,-0.10993119762019943
2009-03-01,15.855939865112305,275644800,797.8699951171875,0.0630416179459874,0.08540446199532292
2009-04-01,16.362577438354492,197184900,872.8099975585938,0.03195254129065783,0.09392507914826331
2009-05-01,19.27348518371582,180974400,919.1400146484375,0.17790031896430025,0.05308144638516654
2009-06-01,19.716445922851562,218092100,919.3200073242188,0.022982908120322776,0.00019582726560996022
2009-07-01,21.33677864074707,167317300,987.47998046875,0.08218178490361305,0.07414172714778422
2009-08-01,20.929269790649414,138815800,1020.6199951171875,-0.019098892900329068,0.03356018886854417
2009-09-01,22.31661605834961,161300700,1057.0799560546875,0.06628737082456748,0.03572334572311964
2009-10-01,21.942378997802734,176938100,1036.18994140625,-0.016769435812687083,-0.019762000526814205
2009-11-01,22.28059959411621,147841300,1095.6300048828125,0.015414034929728704,0.05736406145372763
2009-12-01,22.326921463012695,176290800,1115.0999755859375,0.002079022546086051,0.017770570919338313
2010-01-01,21.334733963012695,137751700,1073.8699951171875,-0.0444390643664726,-0.03697424569226215
